id,title,price,promo_price,url,city
3594626,Конструктор LEGO Minifigures Минифигурки Looney Tunes в непрозрачной упаковке (Сюрприз)71030,329,,https://www.detmir.ru/product/index/id/3594626/,Санкт-Петербург и Ленинградская область
3200881,Конструктор LEGO Disney Frozen Деревня в Эренделле 41167,8 989,6 199,https://www.detmir.ru/product/index/id/3200881/,Санкт-Петербург и Ленинградская область
3498481,Конструктор LEGO Vidiyo Битбокс Хип-Хоп Робота 43107,1 789,889,https://www.detmir.ru/product/index/id/3498481/,Санкт-Петербург и Ленинградская область
3226695,Конструктор LEGO City Nitro Wheels Тюнинг-мастерская 60258,10 789,,https://www.detmir.ru/product/index/id/3226695/,Санкт-Петербург и Ленинградская область
3405628,Конструктор LEGO Ninjago Легендарные битвы: Кай против Армии скелетов 71730,949,,https://www.detmir.ru/product/index/id/3405628/,Санкт-Петербург и Ленинградская область
3405631,Конструктор LEGO Ninjago Легендарные битвы: Коул против Призрачного воина 71733,949,,https://www.detmir.ru/product/index/id/3405631/,Санкт-Петербург и Ленинградская область
3405553,Конструктор LEGO Friends Передвижной груминг-салон для кошек 41439,949,799,https://www.detmir.ru/product/index/id/3405553/,Санкт-Петербург и Ленинградская область
3596977,Конструктор LEGO Ninjago Атака огненного дракона 71753,5 389,,https://www.detmir.ru/product/index/id/3596977/,Санкт-Петербург и Ленинградская область
3599720,Конструктор LEGO VIDIYO Folk Fairy BeatBox (Битбокс Феи Фолка) 43110,1 789,889,https://www.detmir.ru/product/index/id/3599720/,Санкт-Петербург и Ленинградская область
3596711,Конструктор LEGO Mickey and Friends Винтовой самолёт Микки 10772,949,,https://www.detmir.ru/product/index/id/3596711/,Санкт-Петербург и Ленинградская область
3244608,Конструктор LEGO Star Wars AT-AT 75288,16 789,,https://www.detmir.ru/product/index/id/3244608/,Санкт-Петербург и Ленинградская область
3596836,Конструктор LEGO Dots Большой набор Летнее настроение 41937,3 109,,https://www.detmir.ru/product/index/id/3596836/,Санкт-Петербург и Ленинградская область
3405612,Конструктор LEGO Super Mario Твои уровни! Твои приключения! 71380,6 589,,https://www.detmir.ru/product/index/id/3405612/,Санкт-Петербург и Ленинградская область
2954071,Конструктор LEGO DUPLO Town Большой парк аттракционов (10840),8 269,,https://www.detmir.ru/product/index/id/2954071/,Санкт-Петербург и Ленинградская область
3142206,Конструктор LEGO Movie Шкатулка королевы Многолики Собери что хочешь 70825,3 589,2 869,https://www.detmir.ru/product/index/id/3142206/,Санкт-Петербург и Ленинградская область
3405619,Конструктор LEGO Ninjago Электрический робот Джея 71740,2 029,1 699,https://www.detmir.ru/product/index/id/3405619/,Санкт-Петербург и Ленинградская область
3596796,Конструктор LEGO Friends Волшебный фургон 41688,5 389,,https://www.detmir.ru/product/index/id/3596796/,Санкт-Петербург и Ленинградская область
3498476,Конструктор LEGO Vidiyo Битбокс Пирата Панка 43103,1 789,889,https://www.detmir.ru/product/index/id/3498476/,Санкт-Петербург и Ленинградская область
3405613,Конструктор LEGO Super Mario дополнительный набор Кусалкин на цепи-встреча в джунглях 71381,2 629,1 753,https://www.detmir.ru/product/index/id/3405613/,Санкт-Петербург и Ленинградская область
3405552,Конструктор LEGO Friends Пекарня Хартлейк-Сити 41440,1 909,1 699,https://www.detmir.ru/product/index/id/3405552/,Санкт-Петербург и Ленинградская область
3334780,Конструктор LEGO Disney Princess Лесной домик Спящей красавицы 43188,4 309,,https://www.detmir.ru/product/index/id/3334780/,Санкт-Петербург и Ленинградская область
3142024,Конструктор LEGO DUPLO Town Пожарное депо 10903,5 389,,https://www.detmir.ru/product/index/id/3142024/,Санкт-Петербург и Ленинградская область
3596776,Конструктор LEGO Friends Футбольный кьюб Мии 41669,889,619,https://www.detmir.ru/product/index/id/3596776/,Санкт-Петербург и Ленинградская область
3405547,Конструктор LEGO Friends Электромобиль Оливии 41443,1 549,1 389,https://www.detmir.ru/product/index/id/3405547/,Санкт-Петербург и Ленинградская область
3596818,Конструктор LEGO Dots Большой набор тайлов 41935,2 149,1 499,https://www.detmir.ru/product/index/id/3596818/,Санкт-Петербург и Ленинградская область
3244551,Конструктор LEGO Super Heroes Геликарриер 76153,13 789,,https://www.detmir.ru/product/index/id/3244551/,Санкт-Петербург и Ленинградская область
3596747,Конструктор LEGO DUPLO Town Мусоровоз и контейнеры для раздельного сбора мусора 10945,1 789,,https://www.detmir.ru/product/index/id/3596747/,Санкт-Петербург и Ленинградская область
3405617,Конструктор LEGO Super Mario набор усилений Марио Тануки 71385,1 069,709,https://www.detmir.ru/product/index/id/3405617/,Санкт-Петербург и Ленинградская область
3244584,Конструктор LEGO Ninjago Бой на штормовом истребителе 71703,3 109,,https://www.detmir.ru/product/index/id/3244584/,Санкт-Петербург и Ленинградская область
3244578,Конструктор LEGO Super Mario Погоня за сокровищами Тоада 71368,7 789,,https://www.detmir.ru/product/index/id/3244578/,Санкт-Петербург и Ленинградская область
3599723,Конструктор LEGO VIDIYO K-Pawp Concert (Концерт в стиле К-поп) 43113,5 389,2 689,https://www.detmir.ru/product/index/id/3599723/,Санкт-Петербург и Ленинградская область
3156351,Конструктор LEGO 4+ Парк аттракционов Базза и Вуди 10770,4 789,3 879,https://www.detmir.ru/product/index/id/3156351/,Санкт-Петербург и Ленинградская область
3405545,Конструктор LEGO Disney Princess Саламандра Бруни 43186,1 309,,https://www.detmir.ru/product/index/id/3405545/,Санкт-Петербург и Ленинградская область
3405557,Конструктор LEGO Friends Кьюб Эммы с далматинцем 41663,889,609,https://www.detmir.ru/product/index/id/3405557/,Санкт-Петербург и Ленинградская область
3405576,Конструктор LEGO Dots Браслет Музыка 41933,589,,https://www.detmir.ru/product/index/id/3405576/,Санкт-Петербург и Ленинградская область
3405565,Конструктор LEGO Dots Креативный набор для праздника 41926,2 389,,https://www.detmir.ru/product/index/id/3405565/,Санкт-Петербург и Ленинградская область
3405582,Конструктор LEGO City Fire Пожарная машина с лестницей 60280,1 789,1 499,https://www.detmir.ru/product/index/id/3405582/,Санкт-Петербург и Ленинградская область
3405630,Конструктор LEGO Ninjago Легендарные битвы: Джей против воина-серпентина 71732,949,849,https://www.detmir.ru/product/index/id/3405630/,Санкт-Петербург и Ленинградская область
3405607,Конструктор LEGO Super Heroes 76170,2 149,,https://www.detmir.ru/product/index/id/3405607/,Санкт-Петербург и Ленинградская область
