id,title,price,promo_price,url
3596777,Конструктор LEGO Friends Кьюб для балета Стефани 41670,889,619,https://www.detmir.ru/product/index/id/3596777/
3596840,Конструктор LEGO DOTS Творческий набор для дизайнера 41938,4 309,3 699,https://www.detmir.ru/product/index/id/3596840/
3594626,Конструктор LEGO Minifigures Минифигурки Looney Tunes в непрозрачной упаковке (Сюрприз)71030,329,,https://www.detmir.ru/product/index/id/3594626/
3200881,Конструктор LEGO Disney Frozen Деревня в Эренделле 41167,8 989,6 199,https://www.detmir.ru/product/index/id/3200881/
3498481,Конструктор LEGO Vidiyo Битбокс Хип-Хоп Робота 43107,1 789,889,https://www.detmir.ru/product/index/id/3498481/
3405592,Конструктор LEGO City Great Vehicles Трактор 60287,1 789,1 499,https://www.detmir.ru/product/index/id/3405592/
3405628,Конструктор LEGO Ninjago Легендарные битвы: Кай против Армии скелетов 71730,949,,https://www.detmir.ru/product/index/id/3405628/
3244598,Конструктор LEGO Harry Potter Тисовая улица дом 4 75968,7 789,,https://www.detmir.ru/product/index/id/3244598/
3405631,Конструктор LEGO Ninjago Легендарные битвы: Коул против Призрачного воина 71733,949,,https://www.detmir.ru/product/index/id/3405631/
3405553,Конструктор LEGO Friends Передвижной груминг-салон для кошек 41439,949,799,https://www.detmir.ru/product/index/id/3405553/
3596977,Конструктор LEGO Ninjago Атака огненного дракона 71753,5 389,,https://www.detmir.ru/product/index/id/3596977/
3599720,Конструктор LEGO VIDIYO Folk Fairy BeatBox (Битбокс Феи Фолка) 43110,1 789,889,https://www.detmir.ru/product/index/id/3599720/
3596711,Конструктор LEGO Mickey and Friends Винтовой самолёт Микки 10772,949,,https://www.detmir.ru/product/index/id/3596711/
3596836,Конструктор LEGO Dots Большой набор Летнее настроение 41937,3 109,,https://www.detmir.ru/product/index/id/3596836/
3176052,Конструктор LEGO Harry Potter Часовая башня Хогвартса 75948,10 189,,https://www.detmir.ru/product/index/id/3176052/
3405612,Конструктор LEGO Super Mario Твои уровни! Твои приключения! 71380,6 589,,https://www.detmir.ru/product/index/id/3405612/
3142206,Конструктор LEGO Movie Шкатулка королевы Многолики Собери что хочешь 70825,3 589,2 869,https://www.detmir.ru/product/index/id/3142206/
3405619,Конструктор LEGO Ninjago Электрический робот Джея 71740,2 029,1 699,https://www.detmir.ru/product/index/id/3405619/
2997142,Конструктор LEGO Constraction Star Wars Рей (75528),2 389,1 999,https://www.detmir.ru/product/index/id/2997142/
3596796,Конструктор LEGO Friends Волшебный фургон 41688,5 389,,https://www.detmir.ru/product/index/id/3596796/
3498476,Конструктор LEGO Vidiyo Битбокс Пирата Панка 43103,1 789,889,https://www.detmir.ru/product/index/id/3498476/
3596765,Конструктор LEGO Minecraft Разрушенный портал 21172,3 229,,https://www.detmir.ru/product/index/id/3596765/
3405613,Конструктор LEGO Super Mario дополнительный набор Кусалкин на цепи-встреча в джунглях 71381,2 629,1 753,https://www.detmir.ru/product/index/id/3405613/
3596769,Конструктор LEGO Creator Приключения на космическом шаттле 31117,5 389,,https://www.detmir.ru/product/index/id/3596769/
3405552,Конструктор LEGO Friends Пекарня Хартлейк-Сити 41440,1 909,1 699,https://www.detmir.ru/product/index/id/3405552/
3334780,Конструктор LEGO Disney Princess Лесной домик Спящей красавицы 43188,4 309,,https://www.detmir.ru/product/index/id/3334780/
3596776,Конструктор LEGO Friends Футбольный кьюб Мии 41669,889,619,https://www.detmir.ru/product/index/id/3596776/
3405547,Конструктор LEGO Friends Электромобиль Оливии 41443,1 549,1 389,https://www.detmir.ru/product/index/id/3405547/
3596818,Конструктор LEGO Dots Большой набор тайлов 41935,2 149,1 499,https://www.detmir.ru/product/index/id/3596818/
3144096,Конструктор LEGO Creator Обитатели морских глубин 31088,1 669,,https://www.detmir.ru/product/index/id/3144096/
3244551,Конструктор LEGO Super Heroes Геликарриер 76153,13 789,,https://www.detmir.ru/product/index/id/3244551/
3596747,Конструктор LEGO DUPLO Town Мусоровоз и контейнеры для раздельного сбора мусора 10945,1 789,,https://www.detmir.ru/product/index/id/3596747/
3405617,Конструктор LEGO Super Mario набор усилений Марио Тануки 71385,1 069,709,https://www.detmir.ru/product/index/id/3405617/
3596772,Конструктор LEGO Friends Тренировка лошади и прицеп для перевозки 41441,2 989,2 499,https://www.detmir.ru/product/index/id/3596772/
3244584,Конструктор LEGO Ninjago Бой на штормовом истребителе 71703,3 109,,https://www.detmir.ru/product/index/id/3244584/
3244578,Конструктор LEGO Super Mario Погоня за сокровищами Тоада 71368,7 789,,https://www.detmir.ru/product/index/id/3244578/
3599723,Конструктор LEGO VIDIYO K-Pawp Concert (Концерт в стиле К-поп) 43113,5 389,2 689,https://www.detmir.ru/product/index/id/3599723/
3156351,Конструктор LEGO 4+ Парк аттракционов Базза и Вуди 10770,4 789,3 879,https://www.detmir.ru/product/index/id/3156351/
3597027,Конструктор LEGO Super Heroes Железный человек: схватка с Железным Торговцем 76190,4 429,,https://www.detmir.ru/product/index/id/3597027/
3405545,Конструктор LEGO Disney Princess Саламандра Бруни 43186,1 309,,https://www.detmir.ru/product/index/id/3405545/
3596975,Конструктор LEGO Ninjago Водный робот Ллойда 71750,2 029,,https://www.detmir.ru/product/index/id/3596975/
3405557,Конструктор LEGO Friends Кьюб Эммы с далматинцем 41663,889,609,https://www.detmir.ru/product/index/id/3405557/
3405576,Конструктор LEGO Dots Браслет Музыка 41933,589,,https://www.detmir.ru/product/index/id/3405576/
3405565,Конструктор LEGO Dots Креативный набор для праздника 41926,2 389,,https://www.detmir.ru/product/index/id/3405565/
3405582,Конструктор LEGO City Fire Пожарная машина с лестницей 60280,1 789,1 499,https://www.detmir.ru/product/index/id/3405582/
3405620,Конструктор LEGO Ninjago Мотоцикл Ллойда для джунглей 71745,2 029,,https://www.detmir.ru/product/index/id/3405620/
3405630,Конструктор LEGO Ninjago Легендарные битвы: Джей против воина-серпентина 71732,949,849,https://www.detmir.ru/product/index/id/3405630/
3405607,Конструктор LEGO Super Heroes 76170,2 149,,https://www.detmir.ru/product/index/id/3405607/
3596800,Конструктор LEGO Friends Волшебное колесо обозрения и горка 41689,6 589,5 269,https://www.detmir.ru/product/index/id/3596800/
3405560,Конструктор LEGO Friends Кьюб Андреа с кроликом 41666,889,619,https://www.detmir.ru/product/index/id/3405560/
3108625,Конструктор LEGO City Trains Железнодорожные стрелки 60238,2 149,,https://www.detmir.ru/product/index/id/3108625/
